,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2025,2024-10-22,AWAY,NYK,109,BOS,132,LOSS,43,78,0.551,11,30,0.367,12,16,0.75,5,29,34,20,2,3,12,12,48,95,0.505,29,61,0.475,7,8,0.875,11,29,40,33,6,3,4,15
1,2025,2024-10-22,HOME,BOS,132,NYK,109,WIN,48,95,0.505,29,61,0.475,7,8,0.875,11,29,40,33,6,3,4,15,43,78,0.551,11,30,0.367,12,16,0.75,5,29,34,20,2,3,12,12
2,2025,2024-10-22,AWAY,MIN,103,LAL,110,LOSS,35,85,0.412,13,41,0.317,20,27,0.741,12,35,47,17,4,1,16,22,42,95,0.442,5,30,0.167,21,25,0.84,15,31,46,22,7,8,7,22
3,2025,2024-10-22,HOME,LAL,110,MIN,103,WIN,42,95,0.442,5,30,0.167,21,25,0.84,15,31,46,22,7,8,7,22,35,85,0.412,13,41,0.317,20,27,0.741,12,35,47,17,4,1,16,22
4,2025,2024-10-23,AWAY,IND,115,DET,109,WIN,42,83,0.506,9,31,0.29,22,25,0.88,7,32,39,32,10,8,15,23,38,88,0.432,9,33,0.273,24,28,0.857,12,26,38,22,6,2,14,21
5,2025,2024-10-23,HOME,DET,109,IND,115,LOSS,38,88,0.432,9,33,0.273,24,28,0.857,12,26,38,22,6,2,14,21,42,83,0.506,9,31,0.29,22,25,0.88,7,32,39,32,10,8,15,23
6,2025,2024-10-23,AWAY,BRK,116,ATL,120,LOSS,40,91,0.44,17,43,0.395,19,25,0.76,12,31,43,21,8,6,19,32,39,80,0.488,9,28,0.321,33,46,0.717,12,33,45,25,12,9,16,20
7,2025,2024-10-23,HOME,ATL,120,BRK,116,WIN,39,80,0.488,9,28,0.321,33,46,0.717,12,33,45,25,12,9,16,20,40,91,0.44,17,43,0.395,19,25,0.76,12,31,43,21,8,6,19,32
8,2025,2024-10-23,AWAY,ORL,116,MIA,97,WIN,41,96,0.427,18,49,0.367,16,22,0.727,18,39,57,28,8,8,14,21,32,82,0.39,11,34,0.324,22,29,0.759,9,32,41,24,5,8,11,19
9,2025,2024-10-23,HOME,MIA,97,ORL,116,LOSS,32,82,0.39,11,34,0.324,22,29,0.759,9,32,41,24,5,8,11,19,41,96,0.427,18,49,0.367,16,22,0.727,18,39,57,28,8,8,14,21
10,2025,2024-10-23,AWAY,MIL,124,PHI,109,WIN,43,80,0.538,16,37,0.432,22,31,0.71,8,38,46,27,4,9,14,23,41,98,0.418,8,31,0.258,19,27,0.704,17,32,49,18,4,2,10,28
