,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2019,2018-10-16,AWAY,PHI,87,BOS,105,LOSS,34,87,0.391,5,26,0.192,14,23,0.609,6,41,47,18,8,5,16,20,42,97,0.433,11,37,0.297,10,14,0.714,12,43,55,21,7,5,15,20
1,2019,2018-10-16,HOME,BOS,105,PHI,87,WIN,42,97,0.433,11,37,0.297,10,14,0.714,12,43,55,21,7,5,15,20,34,87,0.391,5,26,0.192,14,23,0.609,6,41,47,18,8,5,16,20
2,2019,2018-10-16,AWAY,OKC,100,GSW,108,LOSS,33,91,0.363,10,37,0.27,24,37,0.649,16,29,45,21,12,6,15,21,42,95,0.442,7,26,0.269,17,18,0.944,17,41,58,28,7,7,21,29
3,2019,2018-10-16,HOME,GSW,108,OKC,100,WIN,42,95,0.442,7,26,0.269,17,18,0.944,17,41,58,28,7,7,21,29,33,91,0.363,10,37,0.27,24,37,0.649,16,29,45,21,12,6,15,21
4,2019,2018-10-17,AWAY,MIL,113,CHO,112,WIN,42,85,0.494,14,34,0.412,15,20,0.75,11,46,57,26,5,4,21,25,41,92,0.446,16,38,0.421,14,22,0.636,9,32,41,21,8,9,11,19
5,2019,2018-10-17,HOME,CHO,112,MIL,113,LOSS,41,92,0.446,16,38,0.421,14,22,0.636,9,32,41,21,8,9,11,19,42,85,0.494,14,34,0.412,15,20,0.75,11,46,57,26,5,4,21,25
6,2019,2018-10-17,AWAY,BRK,100,DET,103,LOSS,40,82,0.488,5,27,0.185,15,22,0.682,5,34,39,28,9,5,19,23,39,92,0.424,6,24,0.25,19,22,0.864,14,32,46,21,5,5,17,20
7,2019,2018-10-17,HOME,DET,103,BRK,100,WIN,39,92,0.424,6,24,0.25,19,22,0.864,14,32,46,21,5,5,17,20,40,82,0.488,5,27,0.185,15,22,0.682,5,34,39,28,9,5,19,23
8,2019,2018-10-17,AWAY,MEM,83,IND,111,LOSS,25,84,0.298,10,29,0.345,23,28,0.821,7,21,28,16,11,3,10,18,47,83,0.566,10,26,0.385,7,13,0.538,13,44,57,29,2,7,20,24
9,2019,2018-10-17,HOME,IND,111,MEM,83,WIN,47,83,0.566,10,26,0.385,7,13,0.538,13,44,57,29,2,7,20,24,25,84,0.298,10,29,0.345,23,28,0.821,7,21,28,16,11,3,10,18
10,2019,2018-10-17,AWAY,MIA,101,ORL,104,LOSS,38,97,0.392,9,33,0.273,16,22,0.727,14,38,52,16,4,5,17,28,39,94,0.415,7,25,0.28,19,31,0.613,14,37,51,20,7,7,12,25
11,2019,2018-10-17,HOME,ORL,104,MIA,101,WIN,39,94,0.415,7,25,0.28,19,31,0.613,14,37,51,20,7,7,12,25,38,97,0.392,9,33,0.273,16,22,0.727,14,38,52,16,4,5,17,28
12,2019,2018-10-17,AWAY,ATL,107,NYK,126,LOSS,41,90,0.456,10,36,0.278,15,18,0.833,7,38,45,19,7,3,24,30,45,99,0.455,12,33,0.364,24,31,0.774,10,36,46,21,12,6,16,23
13,2019,2018-10-17,HOME,NYK,126,ATL,107,WIN,45,99,0.455,12,33,0.364,24,31,0.774,10,36,46,21,12,6,16,23,41,90,0.456,10,36,0.278,15,18,0.833,7,38,45,19,7,3,24,30
14,2019,2018-10-17,AWAY,CLE,104,TOR,116,LOSS,34,85,0.4,7,19,0.368,29,39,0.744,14,35,49,17,4,0,16,25,45,92,0.489,14,33,0.424,12,20,0.6,8,35,43,21,6,7,10,29
15,2019,2018-10-17,HOME,TOR,116,CLE,104,WIN,45,92,0.489,14,33,0.424,12,20,0.6,8,35,43,21,6,7,10,29,34,85,0.4,7,19,0.368,29,39,0.744,14,35,49,17,4,0,16,25
16,2019,2018-10-17,AWAY,NOP,131,HOU,112,WIN,52,98,0.531,10,25,0.4,17,22,0.773,14,40,54,36,8,3,12,25,39,92,0.424,16,48,0.333,18,24,0.75,8,29,37,21,8,7,12,22
