,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2019,2019-03-01,AWAY,CHI,168,ATL,161,WIN,56,119,.471,21,48,.438,35,48,.729,11,51,62,30,10,5,17,30,61,123,.496,22,60,.367,17,25,.680,9,50,59,33,11,8,20,34
0,2019,2019-03-01,HOME,ATL,161,CHI,168,LOSS,61,123,.496,22,60,.367,17,25,.680,9,50,59,33,11,8,20,34,56,119,.471,21,48,.438,35,48,.729,11,51,62,30,10,5,17,30
0,2019,2019-03-01,AWAY,CHO,123,BRK,112,WIN,50,94,.532,9,21,.429,14,17,.824,10,30,40,24,6,4,14,25,44,86,.512,10,32,.313,14,18,.778,7,30,37,27,2,5,17,19
0,2019,2019-03-01,HOME,BRK,112,CHO,123,LOSS,44,86,.512,10,32,.313,14,18,.778,7,30,37,27,2,5,17,19,50,94,.532,9,21,.429,14,17,.824,10,30,40,24,6,4,14,25
0,2019,2019-03-01,AWAY,WAS,96,BOS,107,LOSS,36,89,.404,10,38,.263,14,19,.737,11,42,53,20,7,6,18,16,42,94,.447,10,35,.286,13,17,.765,11,35,46,26,12,3,12,18
0,2019,2019-03-01,HOME,BOS,107,WAS,96,WIN,42,94,.447,10,35,.286,13,17,.765,11,35,46,26,12,3,12,18,36,89,.404,10,38,.263,14,19,.737,11,42,53,20,7,6,18,16
0,2019,2019-03-01,AWAY,POR,117,TOR,119,LOSS,42,85,.494,14,33,.424,19,23,.826,9,33,42,24,9,4,18,25,45,81,.556,10,28,.357,19,21,.905,2,30,32,29,9,6,14,17
0,2019,2019-03-01,HOME,TOR,119,POR,117,WIN,45,81,.556,10,28,.357,19,21,.905,2,30,32,29,9,6,14,17,42,85,.494,14,33,.424,19,23,.826,9,33,42,24,9,4,18,25
0,2019,2019-03-01,AWAY,NOP,130,PHO,116,WIN,50,87,.575,16,27,.593,14,20,.700,10,40,50,34,13,4,25,18,40,94,.426,12,34,.353,24,28,.857,12,27,39,25,17,2,19,21
0,2019,2019-03-01,HOME,PHO,116,NOP,130,LOSS,40,94,.426,12,34,.353,24,28,.857,12,27,39,25,17,2,19,21,50,87,.575,16,27,.593,14,20,.700,10,40,50,34,13,4,25,18
0,2019,2019-03-01,AWAY,LAC,116,SAC,109,WIN,40,92,.435,12,31,.387,24,33,.727,16,42,58,19,4,6,12,23,41,93,.441,6,21,.286,21,25,.840,8,38,46,27,6,8,8,25
