,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2019,2019-05-01,AWAY,POR,97,DEN,90,WIN,36,85,.424,9,29,.310,16,20,.800,7,40,47,18,5,6,11,22,34,98,.347,6,29,.207,16,26,.615,23,35,58,20,6,5,9,19
0,2019,2019-05-01,HOME,DEN,90,POR,97,LOSS,34,98,.347,6,29,.207,16,26,.615,23,35,58,20,6,5,9,19,36,85,.424,9,29,.310,16,20,.800,7,40,47,18,5,6,11,22
0,2019,2019-05-02,AWAY,TOR,95,PHI,116,LOSS,35,83,.422,7,27,.259,18,23,.783,8,27,35,15,7,4,9,17,43,84,.512,10,23,.435,20,23,.870,9,36,45,29,4,8,13,17
0,2019,2019-05-02,HOME,PHI,116,TOR,95,WIN,43,84,.512,10,23,.435,20,23,.870,9,36,45,29,4,8,13,17,35,83,.422,7,27,.259,18,23,.783,8,27,35,15,7,4,9,17
0,2019,2019-05-03,AWAY,MIL,123,BOS,116,WIN,42,83,.506,15,37,.405,24,36,.667,7,37,44,23,8,7,15,26,35,81,.432,16,40,.400,30,32,.938,6,38,44,24,9,3,18,27
0,2019,2019-05-03,HOME,BOS,116,MIL,123,LOSS,35,81,.432,16,40,.400,30,32,.938,6,38,44,24,9,3,18,27,42,83,.506,15,37,.405,24,36,.667,7,37,44,23,8,7,15,26
0,2019,2019-05-03,AWAY,DEN,137,POR,140,LOSS,54,119,.454,15,42,.357,14,20,.700,24,42,66,28,11,8,21,27,52,124,.419,12,42,.286,24,28,.857,24,38,62,23,13,5,14,24
0,2019,2019-05-03,HOME,POR,140,DEN,137,WIN,52,124,.419,12,42,.286,24,28,.857,24,38,62,23,13,5,14,24,54,119,.454,15,42,.357,14,20,.700,24,42,66,28,11,8,21,27
0,2019,2019-05-04,AWAY,GSW,121,HOU,126,LOSS,42,95,.442,14,33,.424,23,29,.793,7,28,35,27,6,6,8,22,45,93,.484,18,42,.429,18,26,.692,17,38,55,20,4,6,16,24
0,2019,2019-05-04,HOME,HOU,126,GSW,121,WIN,45,93,.484,18,42,.429,18,26,.692,17,38,55,20,4,6,16,24,42,95,.442,14,33,.424,23,29,.793,7,28,35,27,6,6,8,22
0,2019,2019-05-05,AWAY,TOR,101,PHI,96,WIN,35,76,.461,10,31,.323,21,26,.808,8,35,43,19,6,3,14,24,33,82,.402,12,38,.316,18,25,.720,11,32,43,22,8,6,13,23
0,2019,2019-05-05,HOME,PHI,96,TOR,101,LOSS,33,82,.402,12,38,.316,18,25,.720,11,32,43,22,8,6,13,23,35,76,.461,10,31,.323,21,26,.808,8,35,43,19,6,3,14,24
0,2019,2019-05-05,AWAY,DEN,116,POR,112,WIN,40,92,.435,11,25,.440,25,28,.893,17,28,45,21,7,4,10,22,39,82,.476,12,28,.429,22,28,.786,12,31,43,18,4,5,14,27
0,2019,2019-05-05,HOME,POR,112,DEN,116,LOSS,39,82,.476,12,28,.429,22,28,.786,12,31,43,18,4,5,14,27,40,92,.435,11,25,.440,25,28,.893,17,28,45,21,7,4,10,22
0,2019,2019-05-06,AWAY,MIL,113,BOS,101,WIN,44,100,.440,8,37,.216,17,25,.680,11,45,56,25,4,5,7,25,34,90,.378,9,41,.220,24,30,.800,9,42,51,25,3,5,11,20
0,2019,2019-05-06,HOME,BOS,101,MIL,113,LOSS,34,90,.378,9,41,.220,24,30,.800,9,42,51,25,3,5,11,20,44,100,.440,8,37,.216,17,25,.680,11,45,56,25,4,5,7,25
0,2019,2019-05-06,AWAY,GSW,108,HOU,112,LOSS,42,90,.467,8,33,.242,16,23,.696,8,35,43,24,6,2,11,21,39,89,.438,17,50,.340,17,24,.708,13,37,50,18,6,6,14,23
0,2019,2019-05-06,HOME,HOU,112,GSW,108,WIN,39,89,.438,17,50,.340,17,24,.708,13,37,50,18,6,6,14,23,42,90,.467,8,33,.242,16,23,.696,8,35,43,24,6,2,11,21
0,2019,2019-05-07,AWAY,PHI,89,TOR,125,LOSS,33,79,.418,6,24,.250,17,20,.850,5,32,37,19,6,5,19,26,40,82,.488,16,40,.400,29,33,.879,6,36,42,22,12,2,13,18
0,2019,2019-05-07,HOME,TOR,125,PHI,89,WIN,40,82,.488,16,40,.400,29,33,.879,6,36,42,22,12,2,13,18,33,79,.418,6,24,.250,17,20,.850,5,32,37,19,6,5,19,26
0,2019,2019-05-07,AWAY,POR,98,DEN,124,LOSS,36,98,.367,10,37,.270,16,30,.533,13,30,43,19,6,5,6,23,44,89,.494,8,24,.333,28,31,.903,10,52,62,26,4,4,8,22
0,2019,2019-05-07,HOME,DEN,124,POR,98,WIN,44,89,.494,8,24,.333,28,31,.903,10,52,62,26,4,4,8,22,36,98,.367,10,37,.270,16,30,.533,13,30,43,19,6,5,6,23
0,2019,2019-05-08,AWAY,BOS,91,MIL,116,LOSS,29,93,.312,7,39,.179,26,34,.765,12,36,48,19,9,1,14,18,42,94,.447,15,47,.319,17,22,.773,12,46,58,27,8,7,17,23
0,2019,2019-05-08,HOME,MIL,116,BOS,91,WIN,42,94,.447,15,47,.319,17,22,.773,12,46,58,27,8,7,17,23,29,93,.312,7,39,.179,26,34,.765,12,36,48,19,9,1,14,18
0,2019,2019-05-08,AWAY,HOU,99,GSW,104,LOSS,33,79,.418,12,41,.293,21,24,.875,8,31,39,19,10,3,17,20,39,85,.459,13,37,.351,13,18,.722,12,30,42,28,6,1,15,19
0,2019,2019-05-08,HOME,GSW,104,HOU,99,WIN,39,85,.459,13,37,.351,13,18,.722,12,30,42,28,6,1,15,19,33,79,.418,12,41,.293,21,24,.875,8,31,39,19,10,3,17,20
0,2019,2019-05-09,AWAY,TOR,101,PHI,112,LOSS,35,81,.432,9,36,.250,22,29,.759,9,25,34,25,9,4,12,24,41,89,.461,10,28,.357,20,26,.769,16,36,52,27,5,3,18,22
0,2019,2019-05-09,HOME,PHI,112,TOR,101,WIN,41,89,.461,10,28,.357,20,26,.769,16,36,52,27,5,3,18,22,35,81,.432,9,36,.250,22,29,.759,9,25,34,25,9,4,12,24
0,2019,2019-05-09,AWAY,DEN,108,POR,119,LOSS,33,86,.384,12,32,.375,30,32,.938,16,28,44,22,7,3,7,23,41,89,.461,15,33,.455,22,30,.733,11,32,43,18,4,5,9,20
0,2019,2019-05-09,HOME,POR,119,DEN,108,WIN,41,89,.461,15,33,.455,22,30,.733,11,32,43,18,4,5,9,20,33,86,.384,12,32,.375,30,32,.938,16,28,44,22,7,3,7,23
0,2019,2019-05-10,AWAY,GSW,118,HOU,113,WIN,42,85,.494,16,38,.421,18,23,.783,10,25,35,25,9,7,17,19,42,89,.472,17,39,.436,12,17,.706,12,28,40,21,9,1,17,22
0,2019,2019-05-10,HOME,HOU,113,GSW,118,LOSS,42,89,.472,17,39,.436,12,17,.706,12,28,40,21,9,1,17,22,42,85,.494,16,38,.421,18,23,.783,10,25,35,25,9,7,17,19
0,2019,2019-05-12,AWAY,POR,100,DEN,96,WIN,38,93,.409,4,26,.154,20,24,.833,12,43,55,16,5,7,4,31,33,89,.371,2,19,.105,28,39,.718,13,38,51,15,1,9,5,23
