,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2020,2020-01-01,AWAY,ORL,122,WAS,101,WIN,45,95,.474,12,32,.375,20,27,.741,11,41,52,25,11,6,9,21,33,87,.379,9,31,.290,26,31,.839,9,37,46,18,5,4,13,23
0,2020,2020-01-01,HOME,WAS,101,ORL,122,LOSS,33,87,.379,9,31,.290,26,31,.839,9,37,46,18,5,4,13,23,45,95,.474,12,32,.375,20,27,.741,11,41,52,25,11,6,9,21
0,2020,2020-01-01,AWAY,POR,93,NYK,117,LOSS,37,94,.394,10,32,.313,9,15,.600,10,37,47,17,4,5,9,11,47,98,.480,14,36,.389,9,14,.643,9,46,55,29,3,6,7,14
0,2020,2020-01-01,HOME,NYK,117,POR,93,WIN,47,98,.480,14,36,.389,9,14,.643,9,46,55,29,3,6,7,14,37,94,.394,10,32,.313,9,15,.600,10,37,47,17,4,5,9,11
0,2020,2020-01-01,AWAY,MIN,104,MIL,106,LOSS,34,91,.374,15,46,.326,21,28,.750,6,42,48,18,7,8,12,25,40,94,.426,9,36,.250,17,26,.654,12,48,60,24,4,12,17,22
0,2020,2020-01-01,HOME,MIL,106,MIN,104,WIN,40,94,.426,9,36,.250,17,26,.654,12,48,60,24,4,12,17,22,34,91,.374,15,46,.326,21,28,.750,6,42,48,18,7,8,12,25
0,2020,2020-01-01,AWAY,PHO,107,LAL,117,LOSS,42,86,.488,6,23,.261,17,23,.739,11,36,47,32,7,3,15,28,43,90,.478,7,28,.250,24,34,.706,13,32,45,25,9,5,13,17
0,2020,2020-01-01,HOME,LAL,117,PHO,107,WIN,43,90,.478,7,28,.250,24,34,.706,13,32,45,25,9,5,13,17,42,86,.488,6,23,.261,17,23,.739,11,36,47,32,7,3,15,28
0,2020,2020-01-02,AWAY,CHO,109,CLE,106,WIN,37,83,.446,15,38,.395,20,24,.833,10,29,39,25,5,0,11,15,41,81,.506,13,35,.371,11,14,.786,7,35,42,26,6,3,15,22
0,2020,2020-01-02,HOME,CLE,106,CHO,109,LOSS,41,81,.506,13,35,.371,11,14,.786,7,35,42,26,6,3,15,22,37,83,.446,15,38,.395,20,24,.833,10,29,39,25,5,0,11,15
0,2020,2020-01-02,AWAY,DEN,124,IND,116,WIN,46,87,.529,8,27,.296,24,27,.889,15,32,47,27,7,2,10,21,43,82,.524,12,26,.462,18,25,.720,9,25,34,32,7,3,9,21
0,2020,2020-01-02,HOME,IND,116,DEN,124,LOSS,43,82,.524,12,26,.462,18,25,.720,9,25,34,32,7,3,9,21,46,87,.529,8,27,.296,24,27,.889,15,32,47,27,7,2,10,21
0,2020,2020-01-02,AWAY,TOR,76,MIA,84,LOSS,28,89,.315,6,42,.143,14,17,.824,13,35,48,20,4,6,11,12,33,81,.407,12,37,.324,6,11,.545,9,41,50,23,6,4,16,13
0,2020,2020-01-02,HOME,MIA,84,TOR,76,WIN,33,81,.407,12,37,.324,6,11,.545,9,41,50,23,6,4,16,13,28,89,.315,6,42,.143,14,17,.824,13,35,48,20,4,6,11,12
0,2020,2020-01-02,AWAY,UTA,102,CHI,98,WIN,37,76,.487,11,30,.367,17,22,.773,7,35,42,24,5,6,17,17,37,94,.394,11,36,.306,13,17,.765,15,30,45,22,8,5,11,15
0,2020,2020-01-02,HOME,CHI,98,UTA,102,LOSS,37,94,.394,11,36,.306,13,17,.765,15,30,45,22,8,5,11,15,37,76,.487,11,30,.367,17,22,.773,7,35,42,24,5,6,17,17
0,2020,2020-01-02,AWAY,GSW,84,MIN,99,LOSS,33,77,.429,3,20,.150,15,21,.714,7,36,43,20,9,1,17,20,38,95,.400,13,43,.302,10,17,.588,17,35,52,22,7,7,15,20
0,2020,2020-01-02,HOME,MIN,99,GSW,84,WIN,38,95,.400,13,43,.302,10,17,.588,17,35,52,22,7,7,15,20,33,77,.429,3,20,.150,15,21,.714,7,36,43,20,9,1,17,20
0,2020,2020-01-02,AWAY,BRK,111,DAL,123,LOSS,42,91,.462,12,37,.324,15,17,.882,12,32,44,29,5,1,12,21,45,89,.506,18,38,.474,15,17,.882,12,34,46,22,4,8,14,21
0,2020,2020-01-02,HOME,DAL,123,BRK,111,WIN,45,89,.506,18,38,.474,15,17,.882,12,34,46,22,4,8,14,21,42,91,.462,12,37,.324,15,17,.882,12,32,44,29,5,1,12,21
0,2020,2020-01-02,AWAY,OKC,109,SAS,103,WIN,43,89,.483,9,25,.360,14,20,.700,8,35,43,19,7,6,4,14,40,92,.435,13,31,.419,10,12,.833,14,31,45,22,1,8,9,22
0,2020,2020-01-02,HOME,SAS,103,OKC,109,LOSS,40,92,.435,13,31,.419,10,12,.833,14,31,45,22,1,8,9,22,43,89,.483,9,25,.360,14,20,.700,8,35,43,19,7,6,4,14
0,2020,2020-01-02,AWAY,MEM,123,SAC,128,LOSS,45,93,.484,13,34,.382,20,21,.952,8,34,42,31,4,0,17,25,44,90,.489,14,34,.412,26,31,.839,7,34,41,26,9,8,13,24
0,2020,2020-01-02,HOME,SAC,128,MEM,123,WIN,44,90,.489,14,34,.412,26,31,.839,7,34,41,26,9,8,13,24,45,93,.484,13,34,.382,20,21,.952,8,34,42,31,4,0,17,25
0,2020,2020-01-02,AWAY,DET,112,LAC,126,LOSS,40,94,.426,7,33,.212,25,35,.714,12,33,45,20,10,1,11,23,50,92,.543,11,28,.393,15,21,.714,11,40,51,29,6,11,15,22
0,2020,2020-01-02,HOME,LAC,126,DET,112,WIN,50,92,.543,11,28,.393,15,21,.714,11,40,51,29,6,11,15,22,40,94,.426,7,33,.212,25,35,.714,12,33,45,20,10,1,11,23
0,2020,2020-01-03,AWAY,ATL,106,BOS,109,LOSS,39,93,.419,16,45,.356,12,15,.800,6,36,42,26,6,5,14,24,41,93,.441,6,25,.240,21,29,.724,12,42,54,23,9,7,13,16
0,2020,2020-01-03,HOME,BOS,109,ATL,106,WIN,41,93,.441,6,25,.240,21,29,.724,12,42,54,23,9,7,13,16,39,93,.419,16,45,.356,12,15,.800,6,36,42,26,6,5,14,24
0,2020,2020-01-03,AWAY,MIA,85,ORL,105,LOSS,30,80,.375,7,37,.189,18,23,.783,10,39,49,16,7,2,18,20,33,81,.407,13,35,.371,26,29,.897,7,37,44,25,11,4,11,17
0,2020,2020-01-03,HOME,ORL,105,MIA,85,WIN,33,81,.407,13,35,.371,26,29,.897,7,37,44,25,11,4,11,17,30,80,.375,7,37,.189,18,23,.783,10,39,49,16,7,2,18,20
0,2020,2020-01-03,AWAY,POR,122,WAS,103,WIN,45,88,.511,6,25,.240,26,33,.788,11,30,41,16,6,7,7,21,38,90,.422,11,33,.333,16,25,.640,14,27,41,19,5,4,13,28
0,2020,2020-01-03,HOME,WAS,103,POR,122,LOSS,38,90,.422,11,33,.333,16,25,.640,14,27,41,19,5,4,13,28,45,88,.511,6,25,.240,26,33,.788,11,30,41,16,6,7,7,21
0,2020,2020-01-03,AWAY,PHI,108,HOU,118,LOSS,42,92,.457,6,27,.222,18,25,.720,10,34,44,32,7,6,11,22,41,86,.477,12,32,.375,24,32,.750,8,38,46,22,6,3,14,24
