,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2023,2023-04-01,AWAY,DAL,122,MIA,129,LOSS,47,77,.610,14,34,.412,14,16,.875,1,30,31,32,3,2,14,23,45,86,.523,13,37,.351,26,29,.897,10,26,36,27,6,0,11,16
0,2023,2023-04-01,HOME,MIA,129,DAL,122,WIN,45,86,.523,13,37,.351,26,29,.897,10,26,36,27,6,0,11,16,47,77,.610,14,34,.412,14,16,.875,1,30,31,32,3,2,14,23
0,2023,2023-04-01,AWAY,LAC,114,NOP,122,LOSS,42,85,.494,11,29,.379,19,23,.826,11,26,37,25,5,4,13,29,42,86,.488,7,17,.412,31,35,.886,14,26,40,21,6,5,7,15
0,2023,2023-04-01,HOME,NOP,122,LAC,114,WIN,42,86,.488,7,17,.412,31,35,.886,14,26,40,21,6,5,7,15,42,85,.494,11,29,.379,19,23,.826,11,26,37,25,5,4,13,29
0,2023,2023-04-02,AWAY,TOR,128,CHO,108,WIN,56,104,.538,8,28,.286,8,8,1.000,15,30,45,38,8,6,8,14,42,85,.494,15,31,.484,9,13,.692,10,27,37,26,3,4,18,11
0,2023,2023-04-02,HOME,CHO,108,TOR,128,LOSS,42,85,.494,15,31,.484,9,13,.692,10,27,37,26,3,4,18,11,56,104,.538,8,28,.286,8,8,1.000,15,30,45,38,8,6,8,14
0,2023,2023-04-02,AWAY,UTA,110,BRK,111,LOSS,40,91,.440,8,32,.250,22,30,.733,11,41,52,24,5,1,11,23,38,86,.442,9,32,.281,26,34,.765,7,33,40,25,6,2,9,26
0,2023,2023-04-02,HOME,BRK,111,UTA,110,WIN,38,86,.442,9,32,.281,26,34,.765,7,33,40,25,6,2,9,26,40,91,.440,8,32,.250,22,30,.733,11,41,52,24,5,1,11,23
0,2023,2023-04-02,AWAY,MEM,107,CHI,128,LOSS,39,84,.464,19,43,.442,10,12,.833,8,39,47,29,1,3,18,22,50,94,.532,9,31,.290,19,22,.864,4,32,36,29,9,6,3,13
0,2023,2023-04-02,HOME,CHI,128,MEM,107,WIN,50,94,.532,9,31,.290,19,22,.864,4,32,36,29,9,6,3,13,39,84,.464,19,43,.442,10,12,.833,8,39,47,29,1,3,18,22
