,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2023,2022-11-01,AWAY,CHI,108,BRK,99,WIN,39,89,.438,12,30,.400,18,21,.857,11,33,44,20,8,4,10,13,36,74,.486,12,32,.375,15,19,.789,4,34,38,27,4,7,18,20
0,2023,2022-11-01,HOME,BRK,99,CHI,108,LOSS,36,74,.486,12,32,.375,15,19,.789,4,34,38,27,4,7,18,20,39,89,.438,12,30,.400,18,21,.857,11,33,44,20,8,4,10,13
0,2023,2022-11-01,AWAY,GSW,109,MIA,116,LOSS,39,84,.464,18,49,.367,13,17,.765,10,31,41,31,8,5,20,22,40,88,.455,16,42,.381,20,20,1.000,9,30,39,32,7,3,15,16
0,2023,2022-11-01,HOME,MIA,116,GSW,109,WIN,40,88,.455,16,42,.381,20,20,1.000,9,30,39,32,7,3,15,16,39,84,.464,18,49,.367,13,17,.765,10,31,41,31,8,5,20,22
0,2023,2022-11-01,AWAY,ORL,108,OKC,116,LOSS,39,87,.448,10,29,.345,20,20,1.000,12,37,49,20,7,10,25,14,45,95,.474,10,34,.294,16,20,.800,8,28,36,28,13,9,17,17
0,2023,2022-11-01,HOME,OKC,116,ORL,108,WIN,45,95,.474,10,34,.294,16,20,.800,8,28,36,28,13,9,17,17,39,87,.448,10,29,.345,20,20,1.000,12,37,49,20,7,10,25,14
0,2023,2022-11-01,AWAY,MIN,107,PHO,116,LOSS,37,87,.425,13,34,.382,20,24,.833,10,32,42,24,5,4,18,24,41,89,.461,17,43,.395,17,22,.773,7,27,34,31,9,8,11,20
0,2023,2022-11-01,HOME,PHO,116,MIN,107,WIN,41,89,.461,17,43,.395,17,22,.773,7,27,34,31,9,8,11,20,37,87,.425,13,34,.382,20,24,.833,10,32,42,24,5,4,18,24
0,2023,2022-11-02,AWAY,WAS,121,PHI,111,WIN,45,78,.577,5,21,.238,26,32,.813,7,36,43,27,4,9,8,18,39,84,.464,19,36,.528,14,20,.700,6,26,32,25,3,1,8,25
0,2023,2022-11-02,HOME,PHI,111,WAS,121,LOSS,39,84,.464,19,36,.528,14,20,.700,6,26,32,25,3,1,8,25,45,78,.577,5,21,.238,26,32,.813,7,36,43,27,4,9,8,18
0,2023,2022-11-02,AWAY,BOS,113,CLE,114,LOSS,38,93,.409,11,41,.268,26,27,.963,8,44,52,26,5,9,14,24,42,100,.420,11,39,.282,19,24,.792,9,42,51,24,6,4,11,23
0,2023,2022-11-02,HOME,CLE,114,BOS,113,WIN,42,100,.420,11,39,.282,19,24,.792,9,42,51,24,6,4,11,23,38,93,.409,11,41,.268,26,27,.963,8,44,52,26,5,9,14,24
0,2023,2022-11-02,AWAY,SAC,107,MIA,110,LOSS,41,86,.477,13,36,.361,12,14,.857,4,35,39,29,4,3,12,18,44,89,.494,11,34,.324,11,13,.846,9,37,46,27,5,5,11,20
