,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2025,2024-12-01,AWAY,ORL,100,BRK,92,WIN,34,74,.459,7,28,.250,25,32,.781,14,38,52,23,10,11,22,29,30,79,.380,8,31,.258,24,31,.774,8,25,33,19,10,3,17,31
0,2025,2024-12-01,HOME,BRK,92,ORL,100,LOSS,30,79,.380,8,31,.258,24,31,.774,8,25,33,19,10,3,17,31,34,74,.459,7,28,.250,25,32,.781,14,38,52,23,10,11,22,29
0,2025,2024-12-01,AWAY,IND,121,MEM,136,LOSS,43,90,.478,14,42,.333,21,26,.808,6,35,41,28,8,3,15,22,49,93,.527,16,46,.348,22,27,.815,8,32,40,36,9,6,10,22
0,2025,2024-12-01,HOME,MEM,136,IND,121,WIN,49,93,.527,16,46,.348,22,27,.815,8,32,40,36,9,6,10,22,43,90,.478,14,42,.333,21,26,.808,6,35,41,28,8,3,15,22
0,2025,2024-12-01,AWAY,BOS,111,CLE,115,LOSS,38,95,.400,17,49,.347,18,19,.947,10,36,46,17,11,6,11,19,39,80,.488,17,36,.472,20,25,.800,6,38,44,22,5,7,18,20
0,2025,2024-12-01,HOME,CLE,115,BOS,111,WIN,39,80,.488,17,36,.472,20,25,.800,6,38,44,22,5,7,18,20,38,95,.400,17,49,.347,18,19,.947,10,36,46,17,11,6,11,19
0,2025,2024-12-01,AWAY,NOP,85,NYK,118,LOSS,35,94,.372,4,27,.148,11,17,.647,13,29,42,20,14,9,14,19,42,92,.457,20,45,.444,14,16,.875,14,46,60,30,10,9,17,14
0,2025,2024-12-01,HOME,NYK,118,NOP,85,WIN,42,92,.457,20,45,.444,14,16,.875,14,46,60,30,10,9,17,14,35,94,.372,4,27,.148,11,17,.647,13,29,42,20,14,9,14,19
0,2025,2024-12-01,AWAY,MIA,116,TOR,119,LOSS,39,88,.443,15,40,.375,23,28,.821,12,33,45,25,11,4,14,17,47,88,.534,10,29,.345,15,20,.750,10,37,47,30,4,5,16,23
0,2025,2024-12-01,HOME,TOR,119,MIA,116,WIN,47,88,.534,10,29,.345,15,20,.750,10,37,47,30,4,5,16,23,39,88,.443,15,40,.375,23,28,.821,12,33,45,25,11,4,14,17
0,2025,2024-12-01,AWAY,OKC,116,HOU,119,LOSS,42,94,.447,13,39,.333,19,25,.760,11,35,46,30,5,4,7,26,38,92,.413,13,37,.351,30,39,.769,15,36,51,20,3,6,10,21
0,2025,2024-12-01,HOME,HOU,119,OKC,116,WIN,38,92,.413,13,37,.351,30,39,.769,15,36,51,20,3,6,10,21,42,94,.447,13,39,.333,19,25,.760,11,35,46,30,5,4,7,26
0,2025,2024-12-01,AWAY,LAL,105,UTA,104,WIN,39,88,.443,7,33,.212,20,25,.800,10,32,42,23,7,4,5,18,40,79,.506,14,40,.350,10,16,.625,8,36,44,27,4,4,15,19
0,2025,2024-12-01,HOME,UTA,104,LAL,105,LOSS,40,79,.506,14,40,.350,10,16,.625,8,36,44,27,4,4,15,19,39,88,.443,7,33,.212,20,25,.800,10,32,42,23,7,4,5,18
0,2025,2024-12-01,AWAY,DAL,137,POR,131,WIN,48,87,.552,18,36,.500,23,29,.793,8,25,33,33,13,0,13,15,49,84,.583,18,31,.581,15,18,.833,10,29,39,29,7,0,21,25
0,2025,2024-12-01,HOME,POR,131,DAL,137,LOSS,49,84,.583,18,31,.581,15,18,.833,10,29,39,29,7,0,21,25,48,87,.552,18,36,.500,23,29,.793,8,25,33,33,13,0,13,15
0,2025,2024-12-01,AWAY,SAS,127,SAC,125,WIN,42,82,.512,23,46,.500,20,24,.833,8,30,38,32,6,9,16,17,47,101,.465,12,32,.375,19,24,.792,21,30,51,32,8,5,10,23
0,2025,2024-12-01,HOME,SAC,125,SAS,127,LOSS,47,101,.465,12,32,.375,19,24,.792,21,30,51,32,8,5,10,23,42,82,.512,23,46,.500,20,24,.833,8,30,38,32,6,9,16,17
0,2025,2024-12-01,AWAY,DEN,122,LAC,126,LOSS,51,88,.580,10,24,.417,10,19,.526,8,31,39,37,7,3,14,17,43,90,.478,18,39,.462,22,27,.815,13,29,42,28,8,4,14,16
0,2025,2024-12-01,HOME,LAC,126,DEN,122,WIN,43,90,.478,18,39,.462,22,27,.815,13,29,42,28,8,4,14,16,51,88,.580,10,24,.417,10,19,.526,8,31,39,37,7,3,14,17
0,2025,2024-12-02,AWAY,NOP,112,ATL,124,LOSS,44,100,.440,13,42,.310,11,17,.647,15,26,41,21,15,5,16,18,49,96,.510,10,38,.263,16,20,.800,11,40,51,30,12,4,18,15
0,2025,2024-12-02,HOME,ATL,124,NOP,112,WIN,49,96,.510,10,38,.263,16,20,.800,11,40,51,30,12,4,18,15,44,100,.440,13,42,.310,11,17,.647,15,26,41,21,15,5,16,18
0,2025,2024-12-02,AWAY,MIA,89,BOS,108,LOSS,31,87,.356,8,35,.229,19,23,.826,11,33,44,24,6,1,10,11,39,89,.438,19,55,.345,11,13,.846,14,40,54,25,5,9,17,20
0,2025,2024-12-02,HOME,BOS,108,MIA,89,WIN,39,89,.438,19,55,.345,11,13,.846,14,40,54,25,5,9,17,20,31,87,.356,8,35,.229,19,23,.826,11,33,44,24,6,1,10,11
0,2025,2024-12-02,AWAY,BRK,102,CHI,128,LOSS,38,95,.400,14,42,.333,12,15,.800,10,31,41,24,9,5,13,19,48,92,.522,16,47,.340,16,19,.842,11,43,54,33,8,5,17,16
0,2025,2024-12-02,HOME,CHI,128,BRK,102,WIN,48,92,.522,16,47,.340,16,19,.842,11,43,54,33,8,5,17,16,38,95,.400,14,42,.333,12,15,.800,10,31,41,24,9,5,13,19
0,2025,2024-12-02,AWAY,LAL,80,MIN,109,LOSS,32,79,.405,6,31,.194,10,14,.714,9,30,39,19,8,2,21,16,41,81,.506,15,35,.429,12,15,.800,7,36,43,31,11,2,15,17
0,2025,2024-12-02,HOME,MIN,109,LAL,80,WIN,41,81,.506,15,35,.429,12,15,.800,7,36,43,31,11,2,15,17,32,79,.405,6,31,.194,10,14,.714,9,30,39,19,8,2,21,16
0,2025,2024-12-03,AWAY,PHI,110,CHO,104,WIN,38,82,.463,16,40,.400,18,20,.900,8,23,31,26,9,3,12,22,34,77,.442,13,34,.382,23,28,.821,15,32,47,22,5,3,19,17
0,2025,2024-12-03,HOME,CHO,104,PHI,110,LOSS,34,77,.442,13,34,.382,23,28,.821,15,32,47,22,5,3,19,17,38,82,.463,16,40,.400,18,20,.900,8,23,31,26,9,3,12,22
0,2025,2024-12-03,AWAY,WAS,87,CLE,118,LOSS,32,83,.386,4,26,.154,19,25,.760,13,39,52,18,4,8,21,21,43,89,.483,16,46,.348,16,25,.640,7,38,45,31,11,4,11,20
0,2025,2024-12-03,HOME,CLE,118,WAS,87,WIN,43,89,.483,16,46,.348,16,25,.640,7,38,45,31,11,4,11,20,32,83,.386,4,26,.154,19,25,.760,13,39,52,18,4,8,21,21
0,2025,2024-12-03,AWAY,MIL,128,DET,107,WIN,45,80,.563,23,41,.561,15,21,.714,4,32,36,26,10,6,18,17,40,87,.460,11,33,.333,16,22,.727,13,28,41,22,11,7,18,21
0,2025,2024-12-03,HOME,DET,107,MIL,128,LOSS,40,87,.460,11,33,.333,16,22,.727,13,28,41,22,11,7,18,21,45,80,.563,23,41,.561,15,21,.714,4,32,36,26,10,6,18,17
0,2025,2024-12-03,AWAY,ORL,106,NYK,121,LOSS,38,87,.437,9,39,.231,21,25,.840,9,29,38,20,9,4,16,19,43,85,.506,15,35,.429,20,20,1.000,5,34,39,30,6,4,19,25
0,2025,2024-12-03,HOME,NYK,121,ORL,106,WIN,43,85,.506,15,35,.429,20,20,1.000,5,34,39,30,6,4,19,25,38,87,.437,9,39,.231,21,25,.840,9,29,38,20,9,4,16,19
0,2025,2024-12-03,AWAY,IND,111,TOR,122,LOSS,38,84,.452,12,30,.400,23,28,.821,9,25,34,21,8,6,21,23,44,81,.543,13,33,.394,21,29,.724,6,36,42,28,9,4,21,26
0,2025,2024-12-03,HOME,TOR,122,IND,111,WIN,44,81,.543,13,33,.394,21,29,.724,6,36,42,28,9,4,21,26,38,84,.452,12,30,.400,23,28,.821,9,25,34,21,8,6,21,23
0,2025,2024-12-03,AWAY,UTA,106,OKC,133,LOSS,38,70,.543,13,35,.371,17,22,.773,11,25,36,21,3,6,29,14,53,102,.520,17,47,.362,10,11,.909,15,19,34,32,18,3,8,23
0,2025,2024-12-03,HOME,OKC,133,UTA,106,WIN,53,102,.520,17,47,.362,10,11,.909,15,19,34,32,18,3,8,23,38,70,.543,13,35,.371,17,22,.773,11,25,36,21,3,6,29,14
0,2025,2024-12-03,AWAY,MEM,116,DAL,121,LOSS,45,97,.464,13,40,.325,13,14,.929,13,26,39,27,15,3,19,29,39,81,.481,13,32,.406,30,44,.682,14,35,49,24,8,8,25,23
0,2025,2024-12-03,HOME,DAL,121,MEM,116,WIN,39,81,.481,13,32,.406,30,44,.682,14,35,49,24,8,8,25,23,45,97,.464,13,40,.325,13,14,.929,13,26,39,27,15,3,19,29
0,2025,2024-12-03,AWAY,SAS,93,PHO,104,LOSS,35,100,.350,8,44,.182,15,20,.750,18,35,53,26,9,2,14,17,38,78,.487,11,32,.344,17,21,.810,2,42,44,26,10,5,14,16
0,2025,2024-12-03,HOME,PHO,104,SAS,93,WIN,38,78,.487,11,32,.344,17,21,.810,2,42,44,26,10,5,14,16,35,100,.350,8,44,.182,15,20,.750,18,35,53,26,9,2,14,17
0,2025,2024-12-03,AWAY,GSW,115,DEN,119,LOSS,44,95,.463,12,38,.316,15,21,.714,11,37,48,36,12,3,15,25,40,79,.506,11,24,.458,28,35,.800,4,34,38,32,9,5,15,15
0,2025,2024-12-03,HOME,DEN,119,GSW,115,WIN,40,79,.506,11,24,.458,28,35,.800,4,34,38,32,9,5,15,15,44,95,.463,12,38,.316,15,21,.714,11,37,48,36,12,3,15,25
0,2025,2024-12-03,AWAY,HOU,111,SAC,120,LOSS,41,93,.441,14,39,.359,15,21,.714,18,35,53,14,6,1,16,23,47,91,.516,14,30,.467,12,20,.600,10,24,34,33,7,8,10,20
0,2025,2024-12-03,HOME,SAC,120,HOU,111,WIN,47,91,.516,14,30,.467,12,20,.600,10,24,34,33,7,8,10,20,41,93,.441,14,39,.359,15,21,.714,18,35,53,14,6,1,16,23
0,2025,2024-12-03,AWAY,POR,105,LAC,127,LOSS,41,80,.513,10,29,.345,13,16,.813,11,18,29,25,6,4,18,15,47,85,.553,19,37,.514,14,17,.824,11,24,35,29,8,8,14,14
0,2025,2024-12-03,HOME,LAC,127,POR,105,WIN,47,85,.553,19,37,.514,14,17,.824,11,24,35,29,8,8,14,14,41,80,.513,10,29,.345,13,16,.813,11,18,29,25,6,4,18,15
0,2025,2024-12-04,AWAY,DET,120,BOS,130,LOSS,43,84,.512,20,39,.513,14,18,.778,8,26,34,27,10,5,19,21,45,94,.479,21,53,.396,19,25,.760,14,29,43,30,11,7,16,14
0,2025,2024-12-04,HOME,BOS,130,DET,120,WIN,45,94,.479,21,53,.396,19,25,.760,14,29,43,30,11,7,16,14,43,84,.512,20,39,.513,14,18,.778,8,26,34,27,10,5,19,21
0,2025,2024-12-04,AWAY,IND,90,BRK,99,LOSS,32,75,.427,8,33,.242,18,22,.818,5,34,39,20,6,10,16,19,35,81,.432,12,36,.333,17,23,.739,7,36,43,24,12,6,17,18
0,2025,2024-12-04,HOME,BRK,99,IND,90,WIN,35,81,.432,12,36,.333,17,23,.739,7,36,43,24,12,6,17,18,32,75,.427,8,33,.242,18,22,.818,5,34,39,20,6,10,16,19
0,2025,2024-12-04,AWAY,LAL,93,MIA,134,LOSS,37,88,.420,5,22,.227,14,19,.737,12,24,36,29,9,4,13,8,52,90,.578,24,47,.511,6,9,.667,13,39,52,42,11,5,16,16
0,2025,2024-12-04,HOME,MIA,134,LAL,93,WIN,52,90,.578,24,47,.511,6,9,.667,13,39,52,42,11,5,16,16,37,88,.420,5,22,.227,14,19,.737,12,24,36,29,9,4,13,8
0,2025,2024-12-04,AWAY,ORL,106,PHI,102,WIN,41,84,.488,8,29,.276,16,21,.762,16,26,42,21,13,7,14,18,40,82,.488,11,30,.367,11,19,.579,10,25,35,23,9,1,14,19
0,2025,2024-12-04,HOME,PHI,102,ORL,106,LOSS,40,82,.488,11,30,.367,11,19,.579,10,25,35,23,9,1,14,19,41,84,.488,8,29,.276,16,21,.762,16,26,42,21,13,7,14,18
0,2025,2024-12-04,AWAY,ATL,119,MIL,104,WIN,45,102,.441,9,32,.281,20,22,.909,15,39,54,29,16,3,14,25,33,78,.423,15,45,.333,23,35,.657,8,32,40,23,7,4,18,22
0,2025,2024-12-04,HOME,MIL,104,ATL,119,LOSS,33,78,.423,15,45,.333,23,35,.657,8,32,40,23,7,4,18,22,45,102,.441,9,32,.281,20,22,.909,15,39,54,29,16,3,14,25
0,2025,2024-12-04,AWAY,MIN,108,LAC,80,WIN,41,85,.482,16,44,.364,10,18,.556,7,43,50,31,15,5,15,16,29,83,.349,11,40,.275,11,13,.846,10,36,46,13,7,2,23,16
0,2025,2024-12-04,HOME,LAC,80,MIN,108,LOSS,29,83,.349,11,40,.275,11,13,.846,10,36,46,13,7,2,23,16,41,85,.482,16,44,.364,10,18,.556,7,43,50,31,15,5,15,16
0,2025,2024-12-05,AWAY,DEN,114,CLE,126,LOSS,46,96,.479,6,24,.250,16,22,.727,9,40,49,25,12,5,16,13,47,94,.500,22,48,.458,10,16,.625,9,38,47,32,9,3,17,17
0,2025,2024-12-05,HOME,CLE,126,DEN,114,WIN,47,94,.500,22,48,.458,10,16,.625,9,38,47,32,9,3,17,17,46,96,.479,6,24,.250,16,22,.727,9,40,49,25,12,5,16,13
0,2025,2024-12-05,AWAY,DAL,137,WAS,101,WIN,48,89,.539,20,38,.526,21,27,.778,13,45,58,27,8,12,16,16,39,99,.394,13,40,.325,10,15,.667,12,27,39,25,10,3,12,19
0,2025,2024-12-05,HOME,WAS,101,DAL,137,LOSS,39,99,.394,13,40,.325,10,15,.667,12,27,39,25,10,3,12,19,48,89,.539,20,38,.526,21,27,.778,13,45,58,27,8,12,16,16
0,2025,2024-12-05,AWAY,CHO,101,NYK,125,LOSS,40,89,.449,15,39,.385,6,10,.600,10,30,40,27,3,4,11,22,41,76,.539,18,33,.545,25,32,.781,6,37,43,29,7,4,9,13
0,2025,2024-12-05,HOME,NYK,125,CHO,101,WIN,41,76,.539,18,33,.545,25,32,.781,6,37,43,29,7,4,9,13,40,89,.449,15,39,.385,6,10,.600,10,30,40,27,3,4,11,22
0,2025,2024-12-05,AWAY,OKC,129,TOR,92,WIN,49,102,.480,17,47,.362,14,17,.824,13,42,55,28,15,11,6,16,32,90,.356,11,45,.244,17,20,.850,12,39,51,24,5,7,20,16
0,2025,2024-12-05,HOME,TOR,92,OKC,129,LOSS,32,90,.356,11,45,.244,17,20,.850,12,39,51,24,5,7,20,16,49,102,.480,17,47,.362,14,17,.824,13,42,55,28,15,11,6,16
0,2025,2024-12-05,AWAY,SAC,110,MEM,115,LOSS,39,98,.398,8,35,.229,24,28,.857,14,32,46,19,11,1,13,23,38,80,.475,13,38,.342,26,32,.813,9,40,49,27,9,5,22,21
0,2025,2024-12-05,HOME,MEM,115,SAC,110,WIN,38,80,.475,13,38,.342,26,32,.813,9,40,49,27,9,5,22,21,39,98,.398,8,35,.229,24,28,.857,14,32,46,19,11,1,13,23
0,2025,2024-12-05,AWAY,PHO,124,NOP,126,LOSS,43,85,.506,17,45,.378,21,26,.808,10,36,46,32,10,3,17,15,47,95,.495,14,36,.389,18,25,.720,12,32,44,23,13,4,13,24
0,2025,2024-12-05,HOME,NOP,126,PHO,124,WIN,47,95,.495,14,36,.389,18,25,.720,12,32,44,23,13,4,13,24,43,85,.506,17,45,.378,21,26,.808,10,36,46,32,10,3,17,15
0,2025,2024-12-05,AWAY,CHI,139,SAS,124,WIN,52,90,.578,17,37,.459,18,23,.783,11,39,50,36,6,5,19,26,44,95,.463,8,28,.286,28,39,.718,15,26,41,26,11,4,11,17
0,2025,2024-12-05,HOME,SAS,124,CHI,139,LOSS,44,95,.463,8,28,.286,28,39,.718,15,26,41,26,11,4,11,17,52,90,.578,17,37,.459,18,23,.783,11,39,50,36,6,5,19,26
0,2025,2024-12-05,AWAY,HOU,93,GSW,99,LOSS,35,93,.376,10,38,.263,13,17,.765,11,34,45,20,9,9,8,20,36,86,.419,9,28,.321,18,27,.667,11,43,54,19,5,3,10,16
0,2025,2024-12-05,HOME,GSW,99,HOU,93,WIN,36,86,.419,9,28,.321,18,27,.667,11,43,54,19,5,3,10,16,35,93,.376,10,38,.263,13,17,.765,11,34,45,20,9,9,8,20
0,2025,2024-12-06,AWAY,ORL,94,PHI,102,LOSS,33,78,.423,13,46,.283,15,17,.882,8,30,38,21,8,6,21,23,38,79,.481,7,26,.269,19,29,.655,10,27,37,23,11,0,16,19
0,2025,2024-12-06,HOME,PHI,102,ORL,94,WIN,38,79,.481,7,26,.269,19,29,.655,10,27,37,23,11,0,16,19,33,78,.423,13,46,.283,15,17,.882,8,30,38,21,8,6,21,23
0,2025,2024-12-06,AWAY,LAL,132,ATL,134,LOSS,51,99,.515,16,35,.457,14,16,.875,6,34,40,33,11,10,15,24,50,100,.500,17,40,.425,17,22,.773,11,37,48,40,10,5,17,24
0,2025,2024-12-06,HOME,ATL,134,LAL,132,WIN,50,100,.500,17,40,.425,17,22,.773,11,37,48,40,10,5,17,24,51,99,.515,16,35,.457,14,16,.875,6,34,40,33,11,10,15,24
0,2025,2024-12-06,AWAY,MIL,105,BOS,111,LOSS,40,94,.426,11,29,.379,14,17,.824,12,39,51,16,4,2,9,16,40,87,.460,17,53,.321,14,16,.875,7,34,41,27,5,6,6,18
0,2025,2024-12-06,HOME,BOS,111,MIL,105,WIN,40,87,.460,17,53,.321,14,16,.875,7,34,41,27,5,6,6,18,40,94,.426,11,29,.379,14,17,.824,12,39,51,16,4,2,9,16
0,2025,2024-12-06,AWAY,IND,132,CHI,123,WIN,52,92,.565,18,30,.600,10,12,.833,7,39,46,33,9,4,13,10,46,97,.474,21,50,.420,10,12,.833,8,30,38,33,8,6,12,13
0,2025,2024-12-06,HOME,CHI,123,IND,132,LOSS,46,97,.474,21,50,.420,10,12,.833,8,30,38,33,8,6,12,13,52,92,.565,18,30,.600,10,12,.833,7,39,46,33,9,4,13,10
0,2025,2024-12-06,AWAY,SAC,140,SAS,113,WIN,51,90,.567,16,34,.471,22,24,.917,7,37,44,33,7,6,11,20,39,91,.429,14,41,.341,21,30,.700,12,30,42,28,8,5,14,20
0,2025,2024-12-06,HOME,SAS,113,SAC,140,LOSS,39,91,.429,14,41,.341,21,30,.700,12,30,42,28,8,5,14,20,51,90,.567,16,34,.471,22,24,.917,7,37,44,33,7,6,11,20
0,2025,2024-12-06,AWAY,MIN,107,GSW,90,WIN,40,88,.455,14,42,.333,13,14,.929,9,39,48,32,12,6,21,14,32,82,.390,11,39,.282,15,17,.882,10,31,41,21,9,4,22,11
0,2025,2024-12-06,HOME,GSW,90,MIN,107,LOSS,32,82,.390,11,39,.282,15,17,.882,10,31,41,21,9,4,22,11,40,88,.455,14,42,.333,13,14,.929,9,39,48,32,12,6,21,14
0,2025,2024-12-06,AWAY,UTA,141,POR,99,WIN,53,96,.552,14,32,.438,21,23,.913,11,50,61,34,6,11,14,17,37,95,.389,14,47,.298,11,17,.647,6,28,34,23,4,7,11,22
0,2025,2024-12-06,HOME,POR,99,UTA,141,LOSS,37,95,.389,14,47,.298,11,17,.647,6,28,34,23,4,7,11,22,53,96,.552,14,32,.438,21,23,.913,11,50,61,34,6,11,14,17
0,2025,2024-12-07,AWAY,CLE,116,CHO,102,WIN,42,84,.500,14,38,.368,18,24,.750,14,33,47,28,6,6,12,20,37,86,.430,11,39,.282,17,19,.895,10,27,37,21,6,5,11,27
0,2025,2024-12-07,HOME,CHO,102,CLE,116,LOSS,37,86,.430,11,39,.282,17,19,.895,10,27,37,21,6,5,11,27,42,84,.500,14,38,.368,18,24,.750,14,33,47,28,6,6,12,20
0,2025,2024-12-07,AWAY,OKC,119,NOP,109,WIN,45,85,.529,12,32,.375,17,21,.810,10,35,45,27,13,3,20,24,38,79,.481,11,37,.297,22,27,.815,8,27,35,25,15,6,18,20
0,2025,2024-12-07,HOME,NOP,109,OKC,119,LOSS,38,79,.481,11,37,.297,22,27,.815,8,27,35,25,15,6,18,20,45,85,.529,12,32,.375,17,21,.810,10,35,45,27,13,3,20,24
0,2025,2024-12-07,AWAY,DEN,113,WAS,122,LOSS,46,95,.484,5,25,.200,16,27,.593,16,32,48,34,11,6,15,23,45,93,.484,16,41,.390,16,22,.727,15,31,46,31,9,12,17,21
0,2025,2024-12-07,HOME,WAS,122,DEN,113,WIN,45,93,.484,16,41,.390,16,22,.727,15,31,46,31,9,12,17,21,46,95,.484,5,25,.200,16,27,.593,16,32,48,34,11,6,15,23
0,2025,2024-12-07,AWAY,DET,120,NYK,111,WIN,43,83,.518,18,36,.500,16,19,.842,9,34,43,28,7,0,19,20,42,79,.532,11,34,.324,16,27,.593,4,27,31,27,11,5,15,12
0,2025,2024-12-07,HOME,NYK,111,DET,120,LOSS,42,79,.532,11,34,.324,16,27,.593,4,27,31,27,11,5,15,12,43,83,.518,18,36,.500,16,19,.842,9,34,43,28,7,0,19,20
0,2025,2024-12-07,AWAY,DAL,125,TOR,118,WIN,38,81,.469,17,45,.378,32,37,.865,14,38,52,21,10,8,18,16,43,93,.462,15,39,.385,17,18,.944,8,31,39,37,13,3,13,22
0,2025,2024-12-07,HOME,TOR,118,DAL,125,LOSS,43,93,.462,15,39,.385,17,18,.944,8,31,39,37,13,3,13,22,38,81,.469,17,45,.378,32,37,.865,14,38,52,21,10,8,18,16
0,2025,2024-12-07,AWAY,MEM,127,BOS,121,WIN,47,94,.500,15,33,.455,18,23,.783,11,41,52,25,13,7,13,25,42,105,.400,18,60,.300,19,28,.679,15,36,51,26,6,7,13,16
0,2025,2024-12-07,HOME,BOS,121,MEM,127,LOSS,42,105,.400,18,60,.300,19,28,.679,15,36,51,26,6,7,13,16,47,94,.500,15,33,.455,18,23,.783,11,41,52,25,13,7,13,25
0,2025,2024-12-07,AWAY,PHO,111,MIA,121,LOSS,36,82,.439,16,41,.390,23,25,.920,13,28,41,29,8,3,14,20,45,86,.523,13,32,.406,18,23,.783,11,30,41,30,9,4,12,20
0,2025,2024-12-07,HOME,MIA,121,PHO,111,WIN,45,86,.523,13,32,.406,18,23,.783,11,30,41,30,9,4,12,20,36,82,.439,16,41,.390,23,25,.920,13,28,41,29,8,3,14,20
0,2025,2024-12-08,AWAY,PHI,108,CHI,100,WIN,43,92,.467,9,36,.250,13,14,.929,10,46,56,25,8,5,16,15,35,86,.407,19,54,.352,11,12,.917,2,33,35,29,9,3,15,18
