,SEASON,DATE,HOME/AWAY,TEAM,PTS,TEAM_OPP,PTS_OPP,WIN/LOSS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_OPP,FGA_OPP,FG_PCT_OPP,FG3_OPP,FG3A_OPP,FG3_PCT_OPP,FT_OPP,FTA_OPP,FT_PCT_OPP,ORB_OPP,DRB_OPP,TRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP
0,2025,2025-02-01,AWAY,ATL,127,IND,132,LOSS,45,90,.500,14,37,.378,23,32,.719,11,33,44,31,6,4,13,23,49,90,.544,12,33,.364,22,25,.880,7,34,41,35,6,5,12,26
0,2025,2025-02-01,HOME,IND,132,ATL,127,WIN,49,90,.544,12,33,.364,22,25,.880,7,34,41,35,6,5,12,26,45,90,.500,14,37,.378,23,32,.719,11,33,44,31,6,4,13,23
0,2025,2025-02-01,AWAY,ORL,99,UTA,113,LOSS,30,91,.330,9,41,.220,30,35,.857,11,32,43,19,9,7,8,23,39,84,.464,14,35,.400,21,24,.875,8,43,51,26,5,7,16,27
0,2025,2025-02-01,HOME,UTA,113,ORL,99,WIN,39,84,.464,14,35,.400,21,24,.875,8,43,51,26,5,7,16,27,30,91,.330,9,41,.220,30,35,.857,11,32,43,19,9,7,8,23
0,2025,2025-02-01,AWAY,DEN,107,CHO,104,WIN,41,88,.466,7,37,.189,18,20,.900,8,35,43,29,9,9,11,16,41,95,.432,9,26,.346,13,17,.765,13,38,51,31,5,6,12,13
0,2025,2025-02-01,HOME,CHO,104,DEN,107,LOSS,41,95,.432,9,26,.346,13,17,.765,13,38,51,31,5,6,12,13,41,88,.466,7,37,.189,18,20,.900,8,35,43,29,9,9,11,16
0,2025,2025-02-01,AWAY,BRK,110,HOU,98,WIN,43,87,.494,10,27,.370,14,21,.667,13,33,46,24,5,8,11,16,38,95,.400,12,39,.308,10,15,.667,14,30,44,18,6,6,11,20
0,2025,2025-02-01,HOME,HOU,98,BRK,110,LOSS,38,95,.400,12,39,.308,10,15,.667,14,30,44,18,6,6,11,20,43,87,.494,10,27,.370,14,21,.667,13,33,46,24,5,8,11,16
0,2025,2025-02-01,AWAY,WAS,105,MIN,103,WIN,38,83,.458,15,33,.455,14,17,.824,7,37,44,26,7,6,17,21,38,93,.409,12,40,.300,15,18,.833,11,36,47,29,10,3,16,16
0,2025,2025-02-01,HOME,MIN,103,WAS,105,LOSS,38,93,.409,12,40,.300,15,18,.833,11,36,47,29,10,3,16,16,38,83,.458,15,33,.455,14,17,.824,7,37,44,26,7,6,17,21
0,2025,2025-02-01,AWAY,SAC,110,OKC,144,LOSS,40,100,.400,11,44,.250,19,26,.731,9,28,37,25,8,5,8,10,57,107,.533,19,46,.413,11,16,.688,20,50,70,37,5,6,12,18
0,2025,2025-02-01,HOME,OKC,144,SAC,110,WIN,57,107,.533,19,46,.413,11,16,.688,20,50,70,37,5,6,12,18,40,100,.400,11,44,.250,19,26,.731,9,28,37,25,8,5,8,10
0,2025,2025-02-01,AWAY,LAL,128,NYK,112,WIN,47,81,.580,19,40,.475,15,18,.833,3,34,37,26,9,4,15,22,44,95,.463,10,28,.357,14,19,.737,16,28,44,33,7,3,14,16
0,2025,2025-02-01,HOME,NYK,112,LAL,128,LOSS,44,95,.463,10,28,.357,14,19,.737,16,28,44,33,7,3,14,16,47,81,.580,19,40,.475,15,18,.833,3,34,37,26,9,4,15,22
0,2025,2025-02-01,AWAY,MIA,105,SAS,103,WIN,41,89,.461,13,42,.310,10,17,.588,12,40,52,30,7,5,14,15,38,91,.418,12,36,.333,15,21,.714,13,35,48,27,8,3,11,18
0,2025,2025-02-01,HOME,SAS,103,MIA,105,LOSS,38,91,.418,12,36,.333,15,21,.714,13,35,48,27,8,3,11,18,41,89,.461,13,42,.310,10,17,.588,12,40,52,30,7,5,14,15
0,2025,2025-02-01,AWAY,PHO,108,POR,127,LOSS,38,84,.452,10,33,.303,22,26,.846,11,26,37,21,5,2,19,21,46,89,.517,9,31,.290,26,31,.839,10,33,43,24,11,5,10,20
